Accident_Index,Long,Lat,Accident_Severity,Severity_ctx,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Day_ctx,Time,Speed_limit,Light_Conditions,Light_ctx,Weather_Conditions,Road_Surface_Conditions
201501CW11032,-0.125418,51.494772,1,Slight,2,1,14/07/2015,3,Tuesday,19:10:00,30,1,Daylight,1,1
201501CW11066,-0.125514,51.495942,1,Slight,1,1,21/07/2015,3,Tuesday,16:25:00,30,1,Daylight,1,1
201501EK41020,-0.125726,51.529398,1,Slight,2,1,17/11/2015,3,Tuesday,13:50:00,30,1,Daylight,1,2
201501EK40702,-0.125744,51.518427,1,Slight,2,1,04/08/2015,3,Tuesday,10:30:00,30,1,Daylight,1,1
201501CW10865,-0.125758,51.497025,1,Slight,2,1,23/06/2015,3,Tuesday,06:30:00,30,1,Daylight,1,1
201501EK40412,-0.126166,51.529225,1,Slight,1,1,26/05/2015,3,Tuesday,08:20:00,40,1,Daylight,1,1
201501EK40301,-0.126317,51.529047,1,Slight,2,1,21/04/2015,3,Tuesday,19:20:00,30,1,Daylight,1,1
201501EK40245,-0.126723,51.515655,1,Slight,2,1,31/03/2015,3,Tuesday,06:48:00,30,1,Daylight,1,1
201501CW11739,-0.126885,51.511701,1,Slight,1,1,17/11/2015,3,Tuesday,07:06:00,30,1,Daylight,2,2
201501CW10450,-0.127049,51.490121,1,Slight,2,1,06/01/2015,3,Tuesday,09:20:00,30,1,Daylight,1,1
201501CW11342,-0.127169,51.511795,1,Slight,1,1,08/09/2015,3,Tuesday,11:20:00,30,1,Daylight,1,1
201501CW10510,-0.12718,51.501005,1,Slight,2,1,21/04/2015,3,Tuesday,10:18:00,30,1,Daylight,1,1
201501CW11732,-0.127213,51.500196,1,Slight,2,1,17/11/2015,3,Tuesday,08:00:00,30,1,Daylight,1,1
201501EK41040,-0.127222,51.521059,1,Slight,2,1,24/11/2015,3,Tuesday,10:45:00,30,1,Daylight,1,2
201501CW11107,-0.127553,51.509463,1,Slight,2,1,28/07/2015,3,Tuesday,14:00:00,30,1,Daylight,1,1
201501CW11231,-0.127653,51.507037,1,Slight,2,1,18/08/2015,3,Tuesday,09:15:00,30,1,Daylight,1,1
201501CW10006,-0.127933,51.507221,1,Slight,2,1,13/01/2015,3,Tuesday,10:11:00,30,1,Daylight,1,1
201501CW10656,-0.12857,51.488167,1,Slight,1,1,19/05/2015,3,Tuesday,11:53:00,30,1,Daylight,1,1
201501CW10774,-0.128786,51.507505,1,Slight,1,1,09/06/2015,3,Tuesday,11:10:00,30,1,Daylight,1,1
201501EK40375,-0.128807,51.528098,1,Slight,2,1,05/05/2015,3,Tuesday,08:15:00,30,1,Daylight,1,1
201501CW10120,-0.129045,51.508228,1,Slight,1,1,03/02/2015,3,Tuesday,07:20:00,30,1,Daylight,1,2
201501EK41041,-0.129191,51.525766,1,Slight,2,1,24/11/2015,3,Tuesday,09:20:00,30,1,Daylight,1,1
201501EK40668,-0.129282,51.516505,1,Slight,1,1,04/08/2015,3,Tuesday,17:07:00,30,1,Daylight,1,1
201501CW11861,-0.129362,51.507514,1,Slight,2,1,08/12/2015,3,Tuesday,09:30:00,30,1,Daylight,2,2
201501CW10335,-0.129506,51.507516,1,Slight,1,1,24/03/2015,3,Tuesday,12:04:00,20,1,Daylight,1,1
201501CW10390,-0.129673,51.513994,1,Slight,1,1,07/04/2015,3,Tuesday,18:12:00,30,1,Daylight,1,1
201501CW10304,-0.129699,51.488725,1,Slight,3,1,17/03/2015,3,Tuesday,09:53:00,30,1,Daylight,1,1
201501EK41195,-0.129834,51.527665,1,Slight,2,1,22/12/2015,3,Tuesday,11:40:00,30,1,Daylight,1,1
201501EK41018,-0.130026,51.526499,1,Slight,2,1,17/11/2015,3,Tuesday,09:30:00,30,1,Daylight,1,1
201501CW11423,-0.130223,51.507618,1,Slight,2,1,22/09/2015,3,Tuesday,14:05:00,30,1,Daylight,8,2
201501CW11518,-0.130449,51.516164,1,Slight,2,1,06/10/2015,3,Tuesday,09:30:00,30,1,Daylight,1,1
201501EK40957,-0.131149,51.527236,1,Slight,3,1,27/10/2015,3,Tuesday,09:15:00,30,1,Daylight,1,1
201501CW11199,-0.131291,51.51321,1,Slight,1,1,11/08/2015,3,Tuesday,16:50:00,30,1,Daylight,1,1
201501CW10719,-0.131416,51.510155,1,Slight,4,1,26/05/2015,3,Tuesday,12:10:00,30,1,Daylight,1,1
201501CW10944,-0.131475,51.512224,1,Slight,1,1,30/06/2015,3,Tuesday,20:15:00,30,1,Daylight,1,1
201501CW10391,-0.131682,51.489566,1,Slight,2,1,07/04/2015,3,Tuesday,17:06:00,30,1,Daylight,1,1
201501EK41032,-0.131733,51.527066,1,Slight,2,1,27/10/2015,3,Tuesday,15:00:00,30,1,Daylight,1,1
201501CW10647,-0.131841,51.513848,1,Slight,2,1,12/05/2015,3,Tuesday,06:29:00,30,1,Daylight,1,1
201501EK40684,-0.131973,51.528238,1,Slight,2,1,14/07/2015,3,Tuesday,18:32:00,20,1,Daylight,1,1
201501EK40211,-0.131973,51.528238,1,Slight,2,1,17/03/2015,3,Tuesday,18:30:00,30,1,Daylight,1,1
201501CW10040,-0.132261,51.507111,1,Slight,2,1,20/01/2015,3,Tuesday,11:14:00,30,1,Daylight,1,1
201501EK40343,-0.132773,51.540391,1,Slight,2,1,05/05/2015,3,Tuesday,18:57:00,30,1,Daylight,1,1
201501CW11812,-0.133577,51.496071,1,Slight,2,1,01/12/2015,3,Tuesday,12:35:00,30,1,Daylight,1,1
